# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  720671   240.897476   17.470835   11402   0.03800666666666667    164.1   130   0.74   6.0       9.67        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   155.3280484681478    71.07513424841233    481392   240.893239016   17.47157162    0.0379811   6.6382342E8    
  260081   241.089188   17.433332   10559   0.03519666666666667    152.1   164   0.63   4.1       9.54        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   147.47256332242017   74.86112432507711    481404   241.084798191   17.436449227   0.0359811   7.6104172E9    
  260146   241.317505   17.545834   12216   0.04072                166.7   382   1.3    4.9       9.93        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   166.26161690917328   66.4011459929955     469843   241.314146512   17.539703847   0.0407853   1.6095488E10   
  261867   241.391266   17.376389   10591   0.03530333333333333    152.5   65    0.49   5.4       9.43        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   145.15255022383323   76.057650247228      481421   241.398673782   17.375853593   0.0353919   2.37572608E9   
  720860   241.589188   17.29611    11938   0.03979333333333333    171.8   236   1.28   5.9       9.95        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   162.38425766616677   67.98665126833727    481435   241.590808921   17.286438369   0.0397842   8.0890598E8    
  260233   241.677933   17.189444   11962   0.03987333333333333    172.1   415   1.16   4.3       9.91        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   162.37449116695365   67.99074052873368    481436   241.670417757   17.191790384   0.0397817   4.0432402E10   
  260239   241.693329   17.652777   11230   0.03743333333333333    121.3   271   1.09   5.6       9.58        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   153.34700430169096   71.99333268811543    474738   241.700826356   17.64764341    0.037476    1.04679168E10  
  720951   242.657486   17.735001   10957   0.03652333333333333    157.6   190   1.12   6.1       9.82        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   149.25645241612773   73.96639621741802    481879   242.658352389   17.730672861   0.0364346   8.251477E9     
  741187   174.208755   20.155832   6281    0.020936666666666666   94.4    153   0.71   6.2       9.17        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   87.63945024628732    103.71381807767263   565847   174.206724392   20.161271882   0.0209969   1.73742416E8   
  741188   174.298752   20.019167   6143    0.020476666666666667   92.4    219   3.56   31.7      9.86        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   84.49254707101265    107.5766125458543    555665   174.291015605   20.025307306   0.0202208   3.78220128E8   
  210538   174.518753   19.860556   6203    0.020676666666666666   93.3    210   1.59   11.8      9.51        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   86.37412793864561    105.23315506846218   565492   174.515905625   19.861650481   0.0206847   1.8809673E9    
  212962   174.613754   19.973057   6981    0.02327                97.7    142   1.05   11.3      9.37        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   96.88009910027019    93.82135323647017    555671   174.617290588   19.980575854   0.0232827   1.66282586E9   
  210570   174.845001   19.533054   6774    0.02258                87.1    248   1.91   12.0      9.53        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   93.958511530251      96.73867594575765    555152   174.8519218     19.534727765   0.0225589   1.57112033E10  
  719458   175.320847   20.832224   7190    0.023966666666666667   97.7    136   1.9    16.3      9.63        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   99.54338026801608    91.31116478863613    556567   175.322633593   20.831452872   0.0239434   4.26847078E9   
  210622   175.5625     19.983889   7780    0.025933333333333333   82.8    151   0.94   8.5       9.18        5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   108.05310139535466   84.11995474348737    555686   175.561540045   19.976516293   0.0260602   4.6049106E9    
  210623   175.575409   20.050833   6084    0.02028                97.7    130   1.12   10.9      9.4         5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   85.13926725439566    106.75945767904653   555689   175.565074292   20.048665978   0.0203802   1.77250803E9   
  210629   175.602493   20.121111   5974    0.019913333333333335   95.1    329   5.18   31.7      10.04       5         176.06469653   20.01727248   0.02191886   14.684    14.607    289    2.6440056831746515   83.43737684121376    108.93705367282088   555687   175.602025096   20.119291699   0.0199612   1.6835458E10   
